,MLBID,PLAYERNAME
0,430911,David Aardsma
1,472551,Fernando Abad
2,676265,Cory Abbott
3,682928,CJ Abrams
4,656061,Albert Abreu
5,110029,Bobby Abreu
6,650556,Bryan Abreu
7,547989,Jose Abreu
8,473234,Tony Abreu
9,435618,Jeremy Accardo
10,469686,Alfredo Aceves
11,642758,Domingo Acevedo
12,554429,Dustin Ackley
13,660670,Ronald Acuna
14,542436,Cristhian Adames
15,642715,Willy Adames
16,613534,Austin Adams
17,664856,Chance Adams
18,458691,David Adams
19,572669,Lane Adams
20,571431,Matt Adams
21,430606,Mike Adams
22,656181,Spencer Adams
23,451192,Jim Adduci
24,666176,Jo Adell
25,534947,Tim Adleman
26,501303,Ehire Adrianza
27,346793,Jeremy Affeldt
28,642607,Dario Agrazal
29,542583,Jesus Aguilar
30,605113,Nick Ahmed
31,656184,Brady Aiken
32,673451,Shogo Akiyama
33,669211,Keegan Akin
34,452027,Andrew Albers
35,593643,Hanser Alberto
36,458006,Matt Albers
37,645277,Ozzie Albies
38,456379,Al Alburquerque
39,660896,Jorge Alcala
40,570489,Arismendy Alcantara
41,645261,Sandy Alcantara
42,622505,Victor Alcantara
43,518397,Scott Alexander
44,641302,Tyler Alexander
45,595751,Jorge Alfaro
46,546990,Anthony Alford
47,663465,Kolby Allard
48,664119,Austin Allen
49,592102,Cody Allen
50,656185,Greg Allen
51,663531,Logan Allen
52,501659,Abraham Almonte
53,622075,Yency Almonte
54,501660,Zoilo Almonte
55,546991,Albert Almora
56,624413,Pete Alonso
57,475174,Yonder Alonso
58,656186,Dan Altavilla
59,571437,Aaron Altherr
60,514888,Jose Altuve
61,506693,Henderson Alvarez
62,501625,Jose Alvarez
63,621237,Jose Alvarado
64,476883,Pedro Alvarez
65,665751,Yadier Alvarez
66,670541,Yordan Alvarez
67,640470,Adbert Alzolay
68,506560,Alexi Amarista
69,459932,Hector Ambriz
70,474463,Brett Anderson
71,457762,Bryan Anderson
72,605119,Brian Anderson
73,502624,Chase Anderson
74,594736,Cody Anderson
75,666120,Ian Anderson
76,605121,Justin Anderson
77,502249,Lars Anderson
78,623433,Nick Anderson
79,641312,Shaun Anderson
80,641313,Tim Anderson
81,542881,Tyler Anderson
82,435180,Robert Andino
83,607430,John Andreoli
84,542882,Matt Andriese
85,462101,Elvis Andrus
86,609280,Miguel Andujar
87,150449,Rick Ankiel
88,542883,Dean Anna
89,622088,Tejay Antone
90,493114,Norichika Aoki
91,571446,Mark Appel
92,606157,Aristides Aquino
93,644364,Victor Arano
94,660620,Jonathan Arauz
95,502042,Chris Archer
96,516472,Francisco Arcia
97,606115,Orlando Arcia
98,542455,Oswaldo Arcia
99,571448,Nolan Arenado
100,450317,J.P. Arencibia
